type,area,neighborhood,latitude,longitude,age,floor,bedrooms,price,sqmprice,zone,street,elevator,parking,storage,yard,balcony,reconstructed
0,75.0,0,36.33370200045877,59.52084863608757,16.0,4.0,2.0,2700000000,36000000.0,11.0,125,0,0,0,0,0,0
0,100.0,8,36.2910848,59.5651861,1.0,2.0,2.0,3500000000,35000000.0,1.0,106,1,1,1,0,0,0
0,150.0,0,36.33242,59.519257,0.0,3.0,3.0,6000000000,40000000.0,11.0,168,1,1,1,0,0,0
0,75.0,1,36.37720011245276,59.48137210151671,14.0,1.0,2.0,1930000000,25733333.0,12.0,117,1,1,1,0,0,1
0,76.0,3,36.36002,59.5174,16.0,1.0,2.0,2530000000,33289473.0,10.0,178,0,1,1,0,0,1
1,120.0,21,36.30314,59.6338,3.0,0.0,3.0,1790000000,14916666.0,3.0,103,0,1,1,0,1,0
0,190.0,0,36.32754,59.52752,12.0,2.0,4.0,6250000000,32894736.0,11.0,7,1,1,1,0,0,1
0,93.0,5,36.328868306226,59.490500316363,0.0,0.0,2.0,5500000000,59139784.0,9.0,44,1,1,1,0,0,0
0,230.0,2,36.33183891914909,59.50350991234309,0.0,2.0,3.0,8700000000,37826086.0,11.0,91,1,1,1,0,0,0
0,80.0,1,36.3737765,59.47582,10.0,2.0,2.0,2000000000,25000000.0,12.0,29,0,1,1,0,0,0
0,60.0,5,36.33290257322176,59.46998618148838,7.0,1.0,1.0,1600000000,26666666.0,9.0,27,0,0,0,0,0,0
1,111.0,6,36.29994,59.57479,7.0,0.0,3.0,6100000000,54954954.0,1.0,256,0,1,1,0,1,1
0,172.0,5,36.33234062414125,59.48554209952649,0.0,2.0,3.0,8500000000,49418604.0,9.0,150,1,1,1,0,0,0
0,175.0,16,36.31799,59.6073,1.0,3.0,3.0,4280000000,24457142.0,2.0,154,1,1,1,0,0,0
0,95.0,1,36.38066723684211,59.484675580725245,8.0,7.0,2.0,2100000000,22105263.0,12.0,35,1,1,1,0,0,0
0,261.0,11,36.31803637201696,59.55147485505697,16.0,3.0,3.0,10750000000,41187739.0,1.0,116,1,1,1,0,0,0
0,155.0,0,36.32754,59.52752,0.0,4.0,3.0,6100000000,39354838.0,11.0,7,1,1,1,0,0,0
0,132.0,5,36.33234062414125,59.48554209952649,10.0,5.0,3.0,4890000000,37045454.0,9.0,150,1,1,1,0,0,1
1,225.0,1,36.3737765,59.47582,17.0,0.0,2.0,9000000000,40000000.0,12.0,29,0,1,1,0,1,0
0,85.0,1,36.3737765,59.47582,2.0,3.0,2.0,2190000000,25764705.0,12.0,29,1,1,1,0,0,0
1,250.0,11,36.30755,59.55221,0.0,0.0,5.0,47000000000,188000000.0,1.0,197,0,1,1,0,1,0
0,63.0,9,36.29603,59.6437,11.0,0.0,1.0,1600000000,25396825.0,4.0,196,0,0,1,0,0,0
0,115.0,10,36.29008578096397,59.50294589843005,7.0,2.0,2.0,4000000000,34782608.0,9.0,118,1,1,1,0,0,0
0,162.0,17,36.31381112631327,59.50007725445739,10.0,4.0,3.0,11100000000,68518518.0,9.0,234,1,1,1,0,0,1
1,90.0,4,36.27604529311827,59.61728154936996,30.0,0.0,2.0,3600000000,40000000.0,7.0,233,0,1,1,0,1,1
0,168.0,14,36.32767,59.54838,0.0,5.0,3.0,7700000000,45833333.0,2.0,166,1,1,1,0,0,1
0,100.0,17,36.30632229765302,59.50754560098833,0.0,2.0,2.0,3500000000,35000000.0,9.0,257,0,1,1,0,0,1
